id,ชุด,type,correct,ธง,หมายเหตุ,บรรทัดคำตอบ
gen-chap-05-function-q242,gen-chap-05-function,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(5)=17$
gen-chap-05-function-q243,gen-chap-05-function,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $(g\circ f)^{-1}(12)=2$
gen-chap-05-function-q250,gen-chap-05-function,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: $a=4$
gen-chap-05-function-q253,gen-chap-05-function,fill,$3 \left(x - 1\right)^{2} - 2$,⚪ เทียบไม่ได้,,✅ คำตอบ: $y=3(x-1)^2-2$ (หรือ $3x^2-6x+1$)
gen-chap-05-function-q261,gen-chap-05-function,fill,$5 - 4 \left(x - 3\right)^{2}$,⚪ เทียบไม่ได้,,✅ คำตอบ: $y=-4(x-3)^2+5$ (หรือ $-4x^2+24x-31$)
gen-chap-05-function-q271,gen-chap-05-function,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(2)=-1$
gen-chap-05-function-q273,gen-chap-05-function,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(3)=27$
gen-chap-05-function-q278,gen-chap-05-function,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(2)=0$
gen-chap-05-function-q280,gen-chap-05-function,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(1)=-4$
gen-chap-05-function-q284,gen-chap-05-function,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(3)+f(-3)=10$
gen-chap-05-function-q286,gen-chap-05-function,fill,$x^{2} + \frac{1}{x}$,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(x)=x^2+\dfrac{1}{x}=\dfrac{x^3+1}{x}$
gen-chap-05-function-q287,gen-chap-05-function,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: $x=1$
gen-chap-05-function-q288,gen-chap-05-function,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $f\left(\dfrac52\right)=10$
gen-chap-05-function-q290,gen-chap-05-function,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(f(2))=14$
gen-chap-05-function-q292,gen-chap-05-function,fill,$2 x^{2} + 4$,⚪ เทียบไม่ได้,,✅ คำตอบ: $E(x)=2x^2+4$
gen-chap-05-function-q296,gen-chap-05-function,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: $a+b=2$
gen-chap-05-function-q309,gen-chap-05-function,fill,$\frac{x}{x^{2} - 4}$,⚪ เทียบไม่ได้,,✅ คำตอบ: $O(x)=\dfrac{x}{x^2-4}$
gen-chap-05-function-q311,gen-chap-05-function,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: $(f\circ g)(2)=10$
gen-chap-05-function-q316,gen-chap-05-function,fill,$\left(x - 3\right)^{2} + 2$,⚪ เทียบไม่ได้,,"✅ คำตอบ: $f^{-1}(x)=(x-3)^{2}+2,\ x\ge 3$"
gen-chap-05-function-q343,gen-chap-05-function,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: ผลบวกคำตอบ $=-2$
gen-chap-05-function-q346,gen-chap-05-function,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(2)=-1$
gen-chap-05-function-q348,gen-chap-05-function,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $F(2)=1$
gen-chap-05-function-q363,gen-chap-05-function,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: $g(2)=1$
gen-chap-05-function-q365,gen-chap-05-function,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: ผลบวก $=2$
gen-chap-05-function-q382,gen-chap-05-function,fill,$x^{2} + 2 x + 1$,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(x)=x^2+2x+1$
gen-chap-05-function-q383,gen-chap-05-function,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: ค่าสูงสุด $=9$
gen-chap-05-function-q388,gen-chap-05-function,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $a=3$
gen-chap-05-function-q391,gen-chap-05-function,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $(g\circ f)(2)=17$
gen-chap-05-function-q400,gen-chap-05-function,fill,$- x^{2} + \frac{2}{x^{2}}$,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(x)=-x^2+\dfrac{2}{x^2}$
gen-chap-07-trigonometry-q095,gen-chap-07-trigonometry,mc,2,⚪ เทียบไม่ได้,,• เช็คด้วยสามัญสำนึกก่อนวงคำตอบ : มุม $\dfrac{5\pi}{9}$ เรเดียน มีค่าประมาณ $1.75$ ซึ่งมากกว่า $1$ เรเดียนอยู่พอควร ส่วนโค้งจึงต้องยาวกว่ารัศมีประมาณ 
gen-chap-07-trigonometry-q128,gen-chap-07-trigonometry,mc,3,⚪ เทียบไม่ได้,,• ใช้ขอบเขตเป็นตะแกรงกรองก่อนวงคำตอบ : สำหรับมุมแหลม $\sec$ และ $\csc$ ต่างก็ไม่น้อยกว่า $1$ ⇒ ผลบวกของทั้งคู่ต้องไม่น้อยกว่า $2$ · ค่าใดที่ต่ำกว่า $2
gen-chap-07-trigonometry-q142,gen-chap-07-trigonometry,mc,2,⚪ เทียบไม่ได้,,• ตรวจความสมเหตุสมผลอย่างเร็วก่อนวงคำตอบ : เมื่อ $\tan\theta = 4$ ถือว่าใหญ่พอสมควร พจน์ที่มี $\sin\theta$ จะเด่นกว่าพจน์ที่มี $\cos\theta$ ⇒ ค่าของนิ
gen-chap-07-trigonometry-q167,gen-chap-07-trigonometry,mc,2,⚪ เทียบไม่ได้,,• ด่านตรวจเร็วหลังได้คำตอบ : ถ้าสมการแยกได้เป็นผลคูณของตัวประกอบสองตัว ให้นับว่าแต่ละตัวประกอบให้รากกี่ตัวในหนึ่งรอบแล้วบวกกัน
gen-chap-07-trigonometry-q219,gen-chap-07-trigonometry,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: $BC = 14$ หน่วย
gen-chap-18-interest-and-value-of-money-q06,gen-chap-18-interest-and-value-of-money,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ
gen-chap-18-interest-and-value-of-money-q10,gen-chap-18-interest-and-value-of-money,fill,16232,⚪ เทียบไม่ได้,,✅ คำตอบ
gen-chap-18-interest-and-value-of-money-q13,gen-chap-18-interest-and-value-of-money,fill,51051,⚪ เทียบไม่ได้,,✅ คำตอบ
gen-chap-18-interest-and-value-of-money-q20,gen-chap-18-interest-and-value-of-money,fill,3600,⚪ เทียบไม่ได้,,✅ คำตอบ
gen-chap-18-interest-and-value-of-money-q37,gen-chap-18-interest-and-value-of-money,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ
gen-chap-18-interest-and-value-of-money-q38,gen-chap-18-interest-and-value-of-money,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ
gen-chap-18-interest-and-value-of-money-q39,gen-chap-18-interest-and-value-of-money,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ
gen-chap-18-interest-and-value-of-money-q40,gen-chap-18-interest-and-value-of-money,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ
gen-chap-18-interest-and-value-of-money-q46,gen-chap-18-interest-and-value-of-money,fill,33100,⚪ เทียบไม่ได้,,✅ คำตอบ
gen-chap-18-interest-and-value-of-money-q47,gen-chap-18-interest-and-value-of-money,fill,27846,⚪ เทียบไม่ได้,,✅ คำตอบ
gen-chap-18-interest-and-value-of-money-q48,gen-chap-18-interest-and-value-of-money,fill,37830,⚪ เทียบไม่ได้,,✅ คำตอบ
pat1-2552-03-q31,pat1-2552-03,mc,2,⚪ เทียบไม่ได้,,"ตรวจคำตอบ: ที่ $r=\tfrac12$ ได้ $a_1=4(1-\tfrac12)=2$, ลำดับคือ $2,1,\tfrac12,\dots$ ผลบวก $=\dfrac{2}{1-\frac12}=4$ ✓ และ $a_2=1$ ✓"
pat1-2552-03-q32,pat1-2552-03,mc,1,⚪ เทียบไม่ได้,,ตรวจคำตอบ: แทน $c=2$:
pat1-2552-03-q33,pat1-2552-03,mc,2,⚪ เทียบไม่ได้,,"ตรวจคำตอบ: $f'(-0.5)=2.5 > 0$ (ช่วง $(-1,0)$ เพิ่มจริง), $f'(2.5)=2(2.5)(12.5-3)=47.5 > 0$ (ช่วง $(2,3)$ เพิ่มจริง) ✓"
pat1-2552-03-q36,pat1-2552-03,mc,0,⚪ เทียบไม่ได้,,"ตรวจคำตอบ: 4 บล็อกรอบวง $=3!=6$, สลับใน 4 คู่ $=2^4=16$, รวม $6\times16=96$ ✓"
pat1-2552-03-q40,pat1-2552-03,mc,2,⚪ เทียบไม่ได้,,ตรวจคำตอบ: เงื่อนไข mean=median ทำให้ผลรวมระยะห่างฝั่งซ้าย (ต่ำกว่า median) = ผลรวมระยะห่างฝั่งขวา (สูงกว่า median) ในรูปค่าสัมบูรณ์ ✓
pat1-2552-03-q41,pat1-2552-03,mc,3,⚪ เทียบไม่ได้,,"ตรวจคำตอบ: $a+b=20+10=30$ ✓, $\sum f x = 3.5(20)+4(15)+4.5(10)+5(20)+5.5(10)+6(5)=70+60+45+100+55+30=360$ ✓"
pat1-2552-03-q42,pat1-2552-03,mc,3,⚪ เทียบไม่ได้,,"ตรวจคำตอบ: $\bar{x}=595/40=14.875$ ✓, Med $14.5 > $ Mode $10.3$ ✓"
pat1-2552-03-q44,pat1-2552-03,mc,3,⚪ เทียบไม่ได้,,"ตรวจคำตอบ: $\mu=150, \sigma=5$ แทนใน (1): $150-1.88(5)=150-9.4=140.6$ ✓ และ (2): $150+9.4=159.4$ ✓"
pat1-2552-03-q45,pat1-2552-03,mc,1,⚪ เทียบไม่ได้,,ตรวจคำตอบ:
pat1-2552-03-q48,pat1-2552-03,mc,2,⚪ เทียบไม่ได้,,"ตรวจคำตอบ: $c=\frac{1}{2551!}$,"
pat1-2552-03-q49,pat1-2552-03,mc,2,⚪ เทียบไม่ได้,,"ตรวจคำตอบ: ทั้ง 2 แบบมี จ ที่ 4 ✓, ค ฉ ติดกัน ✓, ฉ ก่อน ก ✓, ก ติด ง ✓, ฉ ไม่ติด ข ✓ — ลำดับ 5 มี ก หรือ ง, ตอบ ง ✓"
pat1-2552-03-q50,pat1-2552-03,mc,2,⚪ เทียบไม่ได้,,"ตรวจคำตอบ: ข=1 เสมอ และ ง อยู่ที่ 5 หรือ 6 (มากกว่า 1 เสมอ) ดังนั้น ""ง หลัง ข"" จริงทั้งสองแบบ ✓"
pat1-2553-03-q22,pat1-2553-03,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: $C 
pat1-2553-03-q25,pat1-2553-03,mc,0,⚪ เทียบไม่ได้,,"✅ คำตอบ: A, B, D พูดเท็จ"
pat1-2553-07-q04,pat1-2553-07,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: $\left\{ x \mid \dfrac{2}{3} 
pat1-2554-12-q05,pat1-2554-12,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $\{ x \in \mathbb{R} \mid -2 
pat1-2555-03-q05,pat1-2555-03,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $B 
pat1-2555-03-q09,pat1-2555-03,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $\{x \in R \mid (4x-1)(x-4) 
pat1-2557-11-q30,pat1-2557-11,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $D 
pat1-2559-03-q12,pat1-2559-03,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: $\{x \mid |x-1| 
pat1-2559-03-q25,pat1-2559-03,mc,4,⚪ เทียบไม่ได้,,✅ คำตอบ: $c 
pat1-2559-10-q09,pat1-2559-10,mc,4,⚪ เทียบไม่ได้,,✅ คำตอบ: $C 
pat1-2560-03-q29,pat1-2560-03,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $y 
pat1-2563-02-q29,pat1-2563-02,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $c 
pat1-2564-03-q03,pat1-2564-03,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $0 < a < 1$
pat1-2564-03-q33,pat1-2564-03,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: $90° 
pat1-2565-03-q41,pat1-2565-03,fill,1728,⚪ เทียบไม่ได้,,"✅ คำตอบ: 1,728"
samn-2561-03-q28,samn-2561-03,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ $f(x) = -\dfrac{1}{2}(x-1)^2 + 1$
